document;siape;das;context
PORTARIA IPEA Nº 44, DE 2 DE MARÇO DE 2023Nº 44;;;Designar o servidor IGOR FERRAZ DA FONSECA, Matrícula SIAPE nº XX516XX, para, excepcionalmente, em virtude de ausência do titular e do substituto, responder pelas atribuições de Coordenador de Democracia e Interações Socioestatais - CODEM, código FCE 1.10, da Coordenação-Geral de Estudos e Políticas do Estado, das Instituições e da Democracia - CGEST, da Diretoria de Estudos e Políticas do Estado, das Instituições e da Democracia - DIEST, do IPEA, no período de 02 de março de 2023 a 31 de março de 2023.
PORTARIA IPEA Nº 43, DE 2 DE MARÇO DE 2023Nº 43;;;"Autorizar o afastamento do País do servidor André de Mello e Souza, ocupante do cargo Técnico de Planejamento e Pesquisa, matrícula SIAPE nº XX597XX, da Diretoria de Estudos Internacionais - DINTE, do Instituto de Pesquisa Econômica Aplicada - IPEA, para representar o Ipea na Reunião do Grupo de Especialistas: ""Vida após Vida no Mundo Pós-COVID-19: Explorando as Opções de Escolhas Políticas e Agendas para o Sul Global"", em Bangkok/Tailândia, no período de 10 a 16 de março de 2023, incluído trânsito, com ônus limitado para o IPEA."
PORTARIAS IPEA DE 3 DE MARÇO DE 2023Nº 46;;;Nº 46 - Exonerar o servidor JOÃO CLAUDIO GARCIA RODRIGUES LIMA, Matrícula SIAPE nº XX013XX, do Cargo Comissionado de Coordenador-Geral de Imprensa e Comunicação Social - CGCOM, código CCE 1.13, do Gabinete da Presidência do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIAS IPEA DE 3 DE MARÇO DE 2023Nº 47;;;Nº 47 - Exonerar a servidora ALICE PESSOA DE ABREU, Matrícula SIAPE nº XX614XX, do Cargo Comissionado de Coordenador-Geral de Planejamento e Articulação Institucional - CGPLA, código CCE 1.13, do Gabinete da Presidência do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIAS IPEA DE 3 DE MARÇO DE 2023Nº 48;;;Nº 48 - Dispensar o servidor BOLIVAR PEGO FILHO, Matrícula SIAPE nº XX766XX, da Função Comissionada de Coordenador-Geral de Estudos e Políticas Regionais, Urbanas e Ambientais - CGRUR, código FCE 1.13, da Diretoria de Estudos e Políticas Regionais, Urbanos e Ambientais - DIRUR, do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIAS IPEA DE 3 DE MARÇO DE 2023Nº 49;;;Nº 49 - Dispensar a servidora ANA LUIZA MACHADO DE CODES, Matrícula SIAPE nº XX358XX, da Função Comissionada de Coordenador-Geral de Estudos e Políticas Sociais - CGSOC, código FCE 1.13, da Diretoria de Estudos e Políticas Sociais - DISOC, do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIAS IPEA DE 3 DE MARÇO DE 2023Nº 50;;;Nº 50 - Dispensar o servidor FRANCISCO EDUARDO DE LUNA E ALMEIDA SANTOS, Matrícula SIAPE nº XX591XX, da Função Comissionada de Coordenador-Geral de Estudos e Políticas Macroeconômicas - CGMAC, código FCE 1.13, da Diretoria de Estudos e Políticas Macroeconomicas - DIMAC, do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIAS IPEA DE 3 DE MARÇO DE 2023Nº 51;;;Nº 51 - Dispensar o servidor FERNANDO JOSE DA SILVA PAIVA RIBEIRO, Matrícula SIAPE nº XX009XX, da Função Comissionada de Coordenador-Geral de Estudos Internacionais - CGINT, código FCE 1.13, da Diretoria de Estudos Internacionais - DINTE, do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIA IPEA Nº 52, DE 3 DE MARÇO DE 2023Nº 52;;;Dispensar o servidor OSMAR GOMES DE MESQUITA, Matrícula SIAPE nº XX769XX, da função comissionada de Coordenador de Capacitação e Desenvolvimento de Pessoas - CODEP, código FCE 1.10, da Coordenação-Geral de Gestão de Pessoas - CGPES, da Diretoria de Desenvolvimento Institucional - DIDES, do Instituto de Pesquisa Econômica Aplicada - IPEA.
PORTARIA IPEA Nº 43, DE 2 DE MARÇO DE 2023(*)Nº 43;;;"Autorizar o afastamento do País do servidor André de Mello e Souza, ocupante do cargo Técnico de Planejamento e Pesquisa, matrícula SIAPE nº XX046XX, da Diretoria de Estudos Internacionais - DINTE, do Instituto de Pesquisa Econômica Aplicada - IPEA, para representar o Ipea na Reunião do Grupo de Especialistas: ""Vida após Vida no Mundo Pós-COVID-19: Explorando as Opções de Escolhas Políticas e Agendas para o Sul Global"", em Bangkok/Tailândia, no período de 10 a 16 de março de 2023, incluído trânsito, com ônus limitado para o IPEA."
